,rank,name,opendate,month,ac_sales,attend,ac_attend,screen,rep_na,dis_com,age_rate,genre,director,profit_line,actor,act_point
1,22,신과함께-죄와 벌,2017-12-20,12,1.16E+11,3548260,14410537,1912,한국,롯데쇼핑㈜롯데엔터테인먼트,12세이상관람가,"판타지,드라마",김용화,18496000,하정우,0.510277183
3,68,베테랑,2015-08-05,8,1.05E+11,423276,13414009,1115,한국,씨제이이앤엠(주),15세이상관람가,"액션,드라마",류승완,,황정민,0.472482592
4,63,암살,2015-07-22,7,9.85E+10,489323,12705299,1519,한국,(주)쇼박스,15세이상관람가,"액션,드라마",최동훈,18224000,,0.064748482
5,170,부산행,2016-07-20,7,9.32E+10,1436163,11565056,1788,한국,(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,"액션,스릴러",연상호,,,0.038117764
6,91,검사외전,2016-02-03,2,7.73E+10,536415,9707033,1812,한국,(주)쇼박스,15세이상관람가,"범죄,코미디",이일형,,황정민,0.472482592
7,76,공조,2017-01-18,1,6.38E+10,159970,7817459,1392,한국,씨제이이앤엠(주),15세이상관람가,액션,김성훈,,현빈,0.153956883
8,86,히말라야,2015-12-16,12,6.02E+10,223259,7759473,1095,한국,씨제이이앤엠(주),12세이상관람가,드라마,이석훈,,황정민,0.472482592
9,182,밀정,2016-09-07,9,6.13E+10,292886,7499777,1444,한국,워너브러더스 코리아(주),15세이상관람가,액션,김지운,,송강호,0.550682914
10,1,1987,2017-12-27,12,5.82E+10,1913914,7231189,1299,한국,씨제이이앤엠(주),15세이상관람가,"역사,드라마",장준환,163200000,김윤석,0.227169255
11,40,마스터,2016-12-21,12,5.81E+10,413802,7147879,1501,한국,씨제이이앤엠(주),15세이상관람가,"액션,범죄",폴 토마스 앤더슨,,이병헌,0.402350027
12,51,터널,2016-08-10,8,5.75E+10,391931,7120447,1105,한국,(주)쇼박스,12세이상관람가,드라마,김성훈,,하정우,0.510277183
13,52,내부자들,2015-11-19,11,5.66E+10,104391,7072011,1129,한국,(주)쇼박스,청소년관람불가,"범죄,드라마",우민호,,이병헌,0.402350027
14,69,인천상륙작전,2016-07-27,7,5.51E+10,475425,7046897,1049,한국,씨제이이앤엠(주),12세이상관람가,"전쟁,드라마",이재한,,이정재,0.062566952
15,42,럭키,2016-10-13,10,5.64E+10,135634,6974389,1234,한국,(주)쇼박스,15세이상관람가,코미디,이계벽,,유해진,0.705878415
16,62,곡성,2016-05-12,5,5.59E+10,173470,6879850,1485,한국,이십세기폭스코리아(주),15세이상관람가,"미스터리,스릴러,드라마",나흥진,8160000,곽도원,0.034279593
17,82,범죄도시,2017-10-03,10,5.63E+10,2210275,6879822,728,한국,"메가박스중앙(주)플러스엠,(주)키위미디어그룹",,"액션,범죄",강윤성,5984000,,
18,73,사도,2015-09-16,9,4.88E+10,256376,6246849,1210,한국,(주)쇼박스,12세이상관람가,"사극,드라마",이준익,8160000,송강호,0.550682914
19,124,연평해전,2015-06-24,6,4.56E+10,156451,6044605,1013,한국,(주)넥스트엔터테인먼트월드(NEW),12세이상관람가,드라마,김학순,,김무열,0
20,48,덕혜옹주,2016-08-03,8,4.44E+10,280539,5597182,964,한국,롯데쇼핑㈜롯데엔터테인먼트,12세이상관람가,"사극,드라마",허진호,,손예진,0.022362078
21,51,검은 사제들,2015-11-05,11,4.24E+10,5976,5442503,1109,한국,씨제이이앤엠(주),15세이상관람가,"미스터리,드라마",장재현,,김윤석,0.227169255
22,56,더 킹,2017-01-18,1,4.35E+10,302704,5315909,1310,한국,(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,"범죄,드라마",한재림,,조인성,0
23,47,독전,2018-05-22,5,4.35E+10,1808524,5063402,1413,한국,(주)넥스트엔터테인먼트월드(NEW),,"느와르,액션",이해영,7616000,,
25,32,판도라,2016-12-07,12,3.61E+10,160521,4582977,1184,한국,(주)넥스트엔터테인먼트월드(NEW),12세이상관람가,"드라마,판타지",앨버트 르윈,,김남길,0.133971612
26,39,강철비,2017-12-14,12,3.55E+10,1643489,4452515,1426,한국,(주)넥스트엔터테인먼트월드(NEW),,"액션,드라마",양우석,11968000,,
27,70,아가씨,2016-06-01,6,3.52E+10,299243,4287481,1171,한국,씨제이이앤엠(주),청소년관람불가,"스릴러,드라마",박찬욱,,김민희,0
28,45,꾼,2017-11-22,11,3.13E+10,1655893,4018035,1314,한국,(주)쇼박스,15세이상관람가,범죄,장창원,4896000,현빈,0.153956883
29,48,조선명탐정 : 사라진 놉의 딸,2015-02-11,2,3.05E+10,115856,3872015,825,한국,(주)쇼박스,12세이상관람가,"사극,코미디,어드벤처",김석윤,,김명민,0.228943492
30,133,남한산성,2017-10-03,10,3.12E+10,3255874,3848108,232,한국,씨제이이앤엠(주),,드라마,황동혁,15232000,,
31,68,귀향,2016-02-24,2,2.72E+10,159811,3586006,876,한국,(주)와우픽쳐스,15세이상관람가,드라마,조정래,,,0.000273166
32,23,그것만이 내 세상,2018-01-17,1,2.74E+10,898369,3417261,884,한국,씨제이이앤엠(주),12세이상관람가,"코미디,드라마",최성현,5712000,이병헌,0.402350027
33,70,아이 캔 스피크,2017-09-21,9,2.55E+10,1027537,3280099,89,한국,"롯데쇼핑㈜롯데엔터테인먼트,(주)리틀빅픽쳐스",,"드라마,휴먼 코미디",김현석,4896000,,
34,6,마녀,2018-06-27,6,2.70E+10,952437,3163957,1117,한국,워너브러더스 코리아(주),15세이상관람가,"미스터리,액션,SF",박훈정,6256000,,0.156043564
35,26,탐정: 리턴즈,2018-06-13,6,2.69E+10,1020521,3151245,1137,한국,씨제이이앤엠(주),15세이상관람가,"코미디,범죄,스릴러",이언희,4896000,권상우,0.030396358
36,52,스물,2015-03-25,3,2.36E+10,154937,3043685,926,한국,(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,"코미디,드라마",이병헌,,,0.046630206
37,38,형,2016-11-23,11,2.31E+10,81317,2981867,993,한국,씨제이이앤엠(주),12세이상관람가,"코미디,드라마",권수경,,,0.030162025
38,73,프리즌,2017-03-23,3,2.38E+10,99614,2931897,1047,한국,(주)쇼박스,청소년관람불가,"범죄,액션",나현,,,0.013914926
39,35,극비수사,2015-06-18,6,2.24E+10,4072,2860786,894,한국,(주)쇼박스,15세이상관람가,"드라마,범죄",곽경택,,김윤석,0.227169255
41,45,탐정 : 더 비기닝,2015-09-24,9,2.05E+10,16423,2625023,764,한국,씨제이이앤엠(주),15세이상관람가,"코미디,범죄",김정훈,,권상우,0.030396358
42,44,아수라,2016-09-28,9,2.06E+10,498321,2593559,1278,한국,씨제이이앤엠(주),청소년관람불가,"범죄,액션",김성수,9792000,정우성,0.04268211
43,35,보안관,2017-05-03,5,2.08E+10,219594,2587891,1091,한국,롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,"범죄,코미디",김형주,10444800,이성민,0.049979914
44,15,기술자들,2014-12-24,12,1.99E+10,582424,2563318,481,한국,롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,"범죄,액션",김홍선,9.52E+08,,0.016565919
45,61,조작된 도시,2017-02-09,2,2.01E+10,14932,2514798,1019,한국,씨제이이앤엠(주),15세이상관람가,"액션, 범죄, 스릴러",박광현,8160000,지창욱,0
46,10,조선명탐정: 흡혈괴마의 비밀,2018-02-08,2,1.98E+10,935061,2444176,1249,한국,(주)쇼박스,12세이상관람가,"코미디,범죄",김석윤,8160000,김명민,0.228943492
47,57,재심,2017-02-15,2,1.93E+10,126749,2420729,935,한국,"오퍼스픽쳐스,CGV아트하우스",15세이상관람가,드라마,김태윤,4352000,,0.124598286
48,25,악의 연대기,2015-05-14,5,1.74E+10,10568,2192075,776,한국,씨제이이앤엠(주),15세이상관람가,스릴러,백운학,,,0.085707351
49,35,강남 1970,2015-01-21,1,1.77E+10,161639,2189378,841,한국,(주)쇼박스,청소년관람불가,"액션,드라마",유하,,,0
50,78,굿바이 싱글,2016-06-29,6,1.69E+10,124741,2108273,841,한국,(주)쇼박스,15세이상관람가,"코미디,드라마",김태곤,,,0.043402832
51,78,내부자들: 디 오리지널,2015-12-31,12,1.70E+10,1080206,2084868,838,한국,(주)쇼박스,청소년관람불가,"범죄,드라마",우민호,,,0.056836949
52,68,뷰티 인사이드,2015-08-20,8,1.61E+10,11143,2053397,648,한국,(주)넥스트엔터테인먼트월드(NEW),12세이상관람가,"판타지,멜로/로맨스",백,,,0.03227957
53,45,봉이 김선달,2016-07-06,7,1.62E+10,144144,2051062,942,한국,씨제이이앤엠(주),12세이상관람가,사극,박대민,,,0.024848879
54,86,오늘의 연애,2015-01-14,1,1.49E+10,141522,1891980,709,한국,씨제이이앤엠(주),15세이상관람가,"멜로/로맨스,코미디",박진표,,이승기,0
55,10,노무현입니다,2017-05-25,5,1.44E+10,6313,1836650,775,한국,"CGV아트하우스,영화사 풀",12세이상관람가,다큐멘터리,이창재,544000,노무현,0
56,73,대호,2015-12-16,12,1.35E+10,133922,1761973,892,한국,(주)넥스트엔터테인먼트월드(NEW),12세이상관람가,사극,박훈정,,최민식,0
57,38,쎄시봉,2015-02-05,2,1.36E+10,4806,1713619,829,한국,씨제이이앤엠(주),15세이상관람가,"멜로/로맨스,코미디,드라마",김현석,,김윤석,0.227169255
58,36,임금님의 사건수첩,2017-04-26,4,1.26E+10,117730,1634403,1054,한국,씨제이이앤엠(주),12세이상관람가,"코미디,어드벤처,액션",문현성,8160000,이선균,0
59,67,더 폰,2015-10-22,10,1.23E+10,17813,1593689,794,한국,(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,"스릴러,액션",김봉주,,,0.002058784
60,155,부라더,2017-11-02,11,1.18E+10,712294,1492903,889,한국,메가박스중앙(주)플러스엠,,코미디,장유정,2720000,,
61,88,차이나타운,2015-04-29,4,1.20E+10,95598,1472004,551,한국,CGV아트하우스,청소년관람불가,"범죄,드라마",한준희,1.20E+08,,0.013224424
62,1,박열,2017-06-28,6,1.12E+10,205876,1457427,1176,한국,메가박스중앙(주)플러스엠,12세이상관람가,"드라마,모험,멜로,로맨스",이준익,4080000,이제훈,0.167615158
63,26,탐정 홍길동: 사라진 마을,2016-05-04,5,1.15E+10,88537,1429768,764,한국,씨제이이앤엠(주),15세이상관람가,"드라마,액션",조성희,,이제훈,0.167615158
64,66,골든슬럼버,2018-02-14,2,1.14E+10,977031,1387547,833,한국,씨제이이앤엠(주),15세이상관람가,"범죄,드라마",노동석,7344000,,0.088008838
65,17,기억의 밤,2017-11-29,11,1.07E+10,566597,1387499,759,한국,"메가박스중앙(주)플러스엠,주식회사 키위컴퍼니",15세이상관람가,범죄,장항준,1400000,강하늘,0.565278522
66,49,특별시민,2017-04-26,4,1.05E+10,192364,1362634,1154,한국,(주)쇼박스,15세이상관람가,드라마,박인제,,,0.016055169
67,11,궁합,2018-02-28,2,1.05E+10,921572,1339259,966,한국,씨제이이앤엠(주),12세이상관람가,"코미디,드라마",홍창표,2176000,,0
68,17,특별수사: 사형수의 편지,2016-06-16,6,9.93E+09,2431,1241882,691,한국,(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,"범죄,드라마",권종관,,김명민,0.228943492
69,63,해빙,2017-03-01,3,9.91E+09,388751,1204570,915,한국,롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,스릴러,이수연,,조진웅,0.450589181
70,46,시간이탈자,2016-04-13,4,9.73E+09,166292,1202320,733,한국,씨제이이앤엠(주),15세이상관람가,스릴러,곽재용,,,0
71,9,악녀,2017-06-08,6,9.69E+09,3249,1201208,685,한국,(주)넥스트엔터테인먼트월드(NEW),청소년관람불가,액션,정병길,5168000,,0.013582954
72,45,동주,2016-02-17,2,8.90E+09,21369,1173860,543,한국,메가박스중앙(주)플러스엠,12세이상관람가,드라마,이준익,,강하늘,0.565278522
73,99,"당신, 거기 있어줄래요",2016-12-14,12,9.36E+09,100576,1168625,767,한국,롯데쇼핑㈜롯데엔터테인먼트,12세이상관람가,"판타지,드라마",홍지영,,김윤석,0.227169255
74,22,장수상회,2015-04-09,4,8.73E+09,476581,1162687,688,한국,씨제이이앤엠(주),12세이상관람가,"멜로/로맨스,드라마",강제규,,,0.026930529
75,42,미씽: 사라진 여자,2016-11-30,11,8.88E+09,143701,1153045,790,한국,메가박스중앙(주)플러스엠,15세이상관람가,미스터리,이언희,,,0
76,26,성난 변호사,2015-10-08,10,8.72E+09,10312,1128274,607,한국,씨제이이앤엠(주),15세이상관람가,"범죄,액션",허종호,,,0.005776822
77,12,챔피언,2018-05-01,5,9.45E+09,700527,1125858,3,한국,워너브러더스 코리아(주),12세이상관람가,드라마,마크 로브슨,4760000,,
78,7,하루,2017-06-15,6,9.03E+09,4627,1124153,781,한국,THE 픽쳐스,15세이상관람가,스릴러,조선호,5086400,김명민,0.228943492
79,11,간신,2015-05-21,5,8.95E+09,4081,1110071,697,한국,롯데쇼핑㈜롯데엔터테인먼트,청소년관람불가,사극,민규동,,주지훈,0.269047938
80,79,오빠생각,2016-01-21,1,8.06E+09,18804,1069618,855,한국,(주)넥스트엔터테인먼트월드(NEW),12세이상관람가,"드라마,전쟁",이한,,,0.004751854
81,102,"날, 보러와요",2016-04-07,4,8.84E+09,2532,1063421,683,한국,메가박스(주)플러스엠,청소년관람불가,"미스터리,스릴러",이철하,,강예원,0
82,118,그놈이다,2015-10-28,10,8.10E+09,102078,1046015,681,한국,CGV아트하우스,15세이상관람가,스릴러,윤준형,,,0.0610131
83,71,염력,2018-01-31,1,7.48E+09,843124,990109,1099,한국,(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,"코미디,판타지",연상호,11152000,,0
84,38,미쓰 와이프,2015-08-13,8,7.36E+09,3393,982979,437,한국,메가박스(주)플러스엠,15세이상관람가,코미디,강효진,,엄정화,0
85,84,"고산자, 대동여지도",2016-09-07,9,7.80E+09,47158,974225,765,한국,씨제이이앤엠(주),전체관람가,사극,강우석,,,0.001095371
86,28,허삼관,2015-01-14,1,7.40E+09,81289,954835,621,한국,(주)넥스트엔터테인먼트월드(NEW),12세이상관람가,드라마,하정우,,하정우,0.510277183
87,16,불한당: 나쁜 놈들의 세상,2017-05-17,5,7.64E+09,119985,949596,860,한국,씨제이이앤엠(주),,"액션,범죄,드라마",변성현,6256000,,
88,25,살인의뢰,2015-03-12,3,6.99E+09,4819,855920,646,한국,씨네그루(주)다우기술,청소년관람불가,"범죄,스릴러",손용호,,김상경,0.051385913
89,34,좋아해줘,2016-02-17,2,6.57E+09,83470,848148,637,한국,씨제이이앤엠(주),12세이상관람가,"멜로/로맨스,코미디",박현진,,,0.046572785
90,36,대립군,2017-05-31,5,6.27E+09,145778,836886,809,한국,이십세기폭스코리아(주),15세이상관람가,"역사,드라마",정윤철,8976000,이정재,0.062566952
91,76,손님,2015-07-09,7,6.39E+09,7505,828025,634,한국,한국예술종합학교 미디어콘텐츠센터,15세이상관람가,"판타지,공포(호러)",윤가은,,,0.003569994
92,89,뽀로로 극장판 공룡섬 대모험,2017-12-07,12,6.22E+09,320299,826218,803,한국,(주)넥스트엔터테인먼트월드(NEW),,"애니메이션,모험","김현호,윤제완",10880000,,
94,52,상의원,2014-12-24,12,6.20E+09,103661,790153,264,한국,"(주)쇼박스,(주)와우픽쳐스",15세이상관람가,"사극,드라마",이원석,,,0.003475614
95,30,레슬러,2018-05-09,5,6.48E+09,504081,770649,11,한국,롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,"코미디,드라마",김대웅,4896000,유해진,0.705878415
96,3,인랑,2018-07-25,7,5.90E+09,756929,759360,1085,한국,워너브러더스 코리아(주),15세이상관람가,"SF,액션,로맨스",김지운,16320000,,0.010670528
97,53,스플릿,2016-11-09,11,6.10E+09,46919,758094,702,한국,오퍼스픽쳐스,15세이상관람가,드라마,최국희,,유지태,0.121987145
98,58,국가대표 2,2016-08-10,8,5.48E+09,79866,709600,562,한국,메가박스중앙(주)플러스엠,12세이상관람가,드라마,김종현,,,0.024675281
99,40,열정같은소리하고있네,2015-11-25,11,4.76E+09,65644,654102,566,한국,(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,드라마,정기훈,,,0.030619532
100,48,그날의 분위기,2016-01-14,1,5.15E+09,4616,653287,592,한국,(주)쇼박스,15세이상관람가,멜로/로맨스,조규장,,,0.004638309
101,57,아빠는 딸,2017-04-12,4,5.05E+09,38800,646690,586,한국,메가박스중앙(주)플러스엠,12세이상관람가,"코미디,드라마",김형협,9520000,,0.06084107
102,108,사냥,2016-06-29,6,4.91E+09,166556,645909,696,한국,롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,액션,이우철,,,0.083316595
103,39,널 기다리며,2016-03-10,3,5.23E+09,1352,635168,551,한국,(주)넥스트엔터테인먼트월드(NEW),청소년관람불가,스릴러,모홍진,,,0.005755669
104,116,조선마술사,2015-12-30,12,4.65E+09,118701,628576,608,한국,롯데쇼핑㈜롯데엔터테인먼트,12세이상관람가,드라마,김대승,,,0.00933985
105,56,특종: 량첸살인기,2015-10-22,10,4.75E+09,9957,616271,776,한국,롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,스릴러,노덕,,,0.019511822
106,44,서부전선,2015-09-24,9,4.75E+09,4224,608982,509,한국,롯데쇼핑㈜롯데엔터테인먼트,12세이상관람가,"전쟁,드라마",천성일,,설경구,0.224959829
107,134,버닝,2018-05-17,5,4.71E+09,277893,528064,270,한국,CGV아트하우스,청소년관람불가,미스터리,이창동,6800000,,0
108,20,7년의 밤,2018-03-28,3,3.97E+09,413824,527994,872,한국,씨제이이앤엠(주),15세이상관람가,"범죄,드라마",추창민,7888000,,0.088008838
109,9,헬머니,2015-03-05,3,4.11E+09,3666,520987,422,한국,(주)넥스트엔터테인먼트월드(NEW),청소년관람불가,코미디,신한솔,,,0.001249498
110,46,가려진 시간,2016-11-16,11,3.95E+09,79274,510878,884,한국,(주)쇼박스,12세이상관람가,"드라마,판타지",엄태화,,,0.020793481
111,80,침묵,2017-11-02,11,3.93E+09,300393,494084,601,한국,씨제이이앤엠(주),,스릴러,정지우,6120000,,
112,16,변산,2018-07-04,7,4.01E+09,264501,488773,763,한국,메가박스중앙(주)플러스엠,15세이상관람가,드라마,이준익,5440000,,0.076342394
113,26,해어화,2016-04-13,4,3.76E+09,77686,485234,572,한국,롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,"사극,드라마",박흥식,,,0.006040926
114,61,계춘할망,2016-05-19,5,3.60E+09,3201,482259,526,한국,(주)콘텐츠 난다긴다,15세이상관람가,"가족,드라마",창,,윤여정,0.192454472
115,56,"로봇, 소리",2016-01-27,1,3.52E+09,77627,476665,609,한국,롯데쇼핑㈜롯데엔터테인먼트,12세이상관람가,드라마,이호재,,이성민,0.049979914
116,96,위험한 상견례 2,2015-04-29,4,3.57E+09,22035,472487,429,한국,"롯데쇼핑㈜롯데엔터테인먼트,(주)마인스 엔터테인먼트",15세이상관람가,"멜로/로맨스,코미디",김진영,,진세연,0
117,36,순수의 시대,2015-03-05,3,3.74E+09,5728,469764,546,한국,씨제이이앤엠(주),청소년관람불가,"사극,드라마",안상훈,,신하균,0.076660418
118,37,반드시 잡는다,2017-11-29,11,3.33E+09,270275,446764,565,한국,(주)넥스트엔터테인먼트월드(NEW),,스릴러,김홍선,10880000,,
119,100,뽀로로 극장판 컴퓨터 왕국 대모험,2015-12-10,12,3.29E+09,2167,444805,544,한국,(주)넥스트엔터테인먼트월드(NEW),전체관람가,애니메이션,박영균,,이선,0
120,63,오피스,2015-09-03,9,3.46E+09,3564,441208,425,한국,(주)리틀빅픽쳐스,15세이상관람가,"스릴러,미스터리",홍원찬,,,0.031983128
121,72,원라인,2017-03-29,3,3.32E+09,61296,434777,613,한국,(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,범죄,양경모,,,0.016478642
122,35,"협녀, 칼의 기억",2015-08-13,8,3.36E+09,3969,431212,572,한국,롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,"사극,액션",박흥식,,이병헌,0.402350027
123,136,터닝메카드W: 블랙미러의 부활,2017-01-18,1,3.21E+09,51390,429822,570,한국,씨네그루(주)키다리이엔티,,애니메이션,홍헌표,,,
124,72,나를 잊지 말아요,2016-01-07,1,3.41E+09,5952,427194,559,한국,씨제이이앤엠(주),15세이상관람가,멜로/로맨스,이윤정,,정우성,0.04268211
125,4,리얼,2017-06-28,6,3.07E+09,150412,426504,970,한국,씨제이이앤엠(주),청소년관람불가,"액션,느와르",이사랑,19040000,,0.044613685
126,66,무뢰한,2015-05-27,5,3.26E+09,56044,414626,482,한국,CGV아트하우스,청소년관람불가,멜로/로맨스,오승욱,,김남길,0.133971612
127,21,흥부: 글로 세상을 바꾼 자,2018-02-14,2,3.37E+09,320786,414348,627,한국,롯데쇼핑㈜롯데엔터테인먼트,,드라마,조근현,,,0.091010534
128,98,넛잡 2,2017-10-03,10,3.07E+09,311995,411570,81,한국,롯데쇼핑㈜롯데엔터테인먼트,,"애니메이션,모험,코미디",캘런 브런커,217600000,,
129,42,내 심장을 쏴라,2015-01-28,1,2.86E+09,62500,387409,452,한국,"(주)리틀빅픽쳐스,(주)이수C&E",15세이상관람가,드라마,문제용,,이민기,0.004217997
130,21,보통사람,2017-03-23,3,2.95E+09,4124,383046,621,한국,오퍼스픽쳐스,15세이상관람가,드라마,김봉한,,,0
131,41,소수의견,2015-06-24,6,2.89E+09,51092,382861,398,한국,(주)시네마서비스,15세이상관람가,드라마,김성제,,윤계상,0.127042046
