,rank,name,opendate,month,ac_sales,attend,ac_attend,screen,rep_na,dis_com,age_rate,genre,director,profit_line,actor,act_point
444,155,어떻게 헤어질까,2016-11-03,11,8830000,273,1136,9,한국,하준사,12세이상관람가,"판타지,드라마",조성규,,,0.001859787
445,40,안나 카레니나,2018-06-29,6,19600000,929,1116,9,한국,,,드라마,줄리앙 뒤비비에르,,,
446,131,퍼즐,2018-02-22,2,8750000,418,1101,7,한국,,,,,,,
447,59,혜경궁 홍씨,2015-06-04,6,9510000,181,1097,5,한국,(주)씨타마운틴픽쳐스,12세이상관람가,"공연,사극,드라마",장동홍,,,
448,80,독도의 영웅들,2016-02-18,2,6830000,829,1054,4,한국,퓨어웨이픽쳐스,12세이상관람가,다큐멘터리,권순도,,,0.011520583
449,38,JSA 남북공동초등학교,2016-01-21,1,5260000,1049,1049,6,한국,시네마서울,전체관람가,드라마,한명구,,,
450,142,사돈의 팔촌,2016-05-12,5,7450000,488,1047,10,한국,서울독립영화제,15세이상관람가,"멜로/로맨스,드라마",장현상,,,
451,147,들꽃,2015-11-05,11,7730000,308,1042,12,한국,(주)인디플러그,청소년관람불가,드라마,박석영,,,
452,102,파스카,2015-07-09,7,7160000,439,1038,11,한국,무브먼트,15세이상관람가,드라마,안선경,,,
453,67,코인라커,2015-05-28,5,6990000,334,1000,13,한국,(주)드림팩트엔터테인먼트,청소년관람불가,드라마,김태경,,,
454,132,소녀와 여자,2016-06-16,6,6500000,345,963,17,한국,㈜인디스토리,15세이상관람가,다큐멘터리,김효정,,,
455,96,아일랜드 - 시간을 훔치는 섬,2015-11-26,11,7370000,811,948,21,한국,(유)조이앤시네마,15세이상관람가,"미스터리,드라마",박진성,,,
457,46,나도 때론 포르노그라피의 주인공이고 싶다,2015-11-12,11,5970000,553,936,20,한국,(주)피터팬픽쳐스,청소년관람불가,멜로/로맨스,장성수,,,
458,35,젊은엄마 : 내 나이가 어때서,2015-05-07,5,4520000,916,916,20,한국,골든타이드픽처스(주),청소년관람불가,드라마,김일종,,,
459,69,원령,2015-08-13,8,6690000,327,912,4,한국,(유)조이앤시네마,15세이상관람가,공포(호러),동역견,,,
460,170,혼자,2016-11-24,11,6010000,351,910,8,한국,㈜인디스토리,청소년관람불가,스릴러,박홍민,,,
461,154,왕초와 용가리,2016-09-08,9,5640000,427,909,8,한국,㈜인디스토리,15세이상관람가,다큐멘터리,이창준,,,
462,175,짐작보다 따뜻하게,2016-05-19,5,6660000,197,904,6,한국,(주)맑은시네마,12세이상관람가,드라마,이상민,,,
463,34,7공주 대리운전,2015-05-28,5,4310000,840,894,20,한국,(주)나우콘텐츠,청소년관람불가,코미디,이재훈,,,
464,118,울보,2016-01-28,1,6340000,380,845,10,한국,오퍼스픽쳐스,청소년관람불가,드라마,이진우,,,
465,86,기화,2015-02-26,2,5700000,255,822,5,한국,아방가르드 필름,청소년관람불가,"드라마,코미디,가족",문정윤,,,
466,39,젊은 엄마 3,2015-09-03,9,4100000,813,813,20,한국,골든타이드픽처스(주),청소년관람불가,멜로/로맨스,채길병,,,
467,55,나의 연기 워크샵,2017-12-28,12,6110000,519,808,12,한국,,,기타,안선경,,,
468,75,짓2: 붉은 낙타,2015-08-07,8,4280000,442,805,20,한국,(주)드림팩트엔터테인먼트,청소년관람불가,드라마,노진수,,,
469,42,션샤인 러브,2015-09-17,9,6370000,580,802,17,한국,"(주)인벤트스톤,(주)영화사오원",12세이상관람가,"판타지,멜로/로맨스,코미디",조은성,,,
470,41,마님,2015-08-14,8,4070000,787,787,20,한국,골든타이드픽처스(주),청소년관람불가,멜로/로맨스,김광중,,,
471,154,달에 부는 바람,2016-05-26,5,4940000,145,786,7,한국,무브먼트,전체관람가,다큐멘터리,이승준,,,
472,41,하숙집 2,2016-01-07,1,4250000,776,776,20,한국,(주)소나무픽쳐스,청소년관람불가,"멜로/로맨스,드라마",정태령,,,
473,45,없던 일,2015-08-20,8,3800000,722,772,21,한국,(주)나우콘텐츠,청소년관람불가,드라마,윤여창,,,
474,136,젊은 처제,2015-09-10,9,4910000,569,770,21,한국,주식회사 루믹스미디어,청소년관람불가,"멜로/로맨스,코미디",이세종,,,
475,133,눈이라도 내렸으면,2016-05-12,5,5510000,610,767,5,한국,야간비행,15세이상관람가,드라마,장희철,,,
476,136,걱정말아요,2017-01-05,1,5700000,388,766,15,한국,(주)레인보우팩토리,청소년관람불가,드라마,"소준문,김현,김대견,신종훈",,,
477,149,스피드,2015-10-22,10,6600000,62,765,6,한국,(주)드림팩트엔터테인먼트,청소년관람불가,드라마,이상우,,,0.003141474
478,107,소시민,2017-01-12,1,5470000,122,750,10,한국,홀리가든,15세이상관람가,코미디,김병준,,,
479,63,러브앤서울 복숭아마을 도색소동기,2015-07-27,7,3850000,164,744,20,한국,(주)케이알씨지,청소년관람불가,멜로/로맨스,조조 히데오,,,
480,44,착한 여자,2015-03-25,3,2960000,702,708,20,한국,(주)소나무픽쳐스,청소년관람불가,멜로/로맨스,경석호,,,
481,64,남자와 여자,2018-05-31,5,5900000,366,700,3,한국,(주)영화사 그램,,,,,,
482,65,아더왕의 전설,2016-11-09,11,10600000,79,679,5,한국,(주)패뷸러스,전체관람가,"공연,뮤지컬",정성복,,,
483,84,행복의 나라,2018-07-19,7,4590000,263,679,15,한국,,,,,,,
484,113,후쿠시마의 미래,2015-04-09,4,4100000,178,670,7,한국,(주)인디플러그,전체관람가,다큐멘터리,이홍기,,,
485,70,오디세오,2015-10-22,10,9880000,374,662,8,한국,,전체관람가,전체관람가,공연,,,
486,104,해에게서 소년에게,2015-11-19,11,4490000,464,662,21,한국,주식회사 디에스이이디,15세이상관람가,드라마,안슬기,,,
487,151,휴가,2016-12-08,12,4580000,48,661,5,한국,㈜리필름,12세이상관람가,"가족,드라마",이수성,,,
488,191,워킹 스트리트,2016-11-17,11,3960000,577,655,6,한국,(주)모멘텀엔터테인먼트,청소년관람불가,드라마,이상우,,,
489,97,탐욕의 별,2016-04-27,4,4110000,15,632,9,한국,㈜인디스토리,15세이상관람가,다큐멘터리,공귀현,,김의성,0.176017675
490,44,하숙집,2015-02-25,2,3310000,41,630,20,한국,(주)소나무픽쳐스,청소년관람불가,"멜로/로맨스,드라마",경석호,,,
491,60,기생-꽃의 고백,2018-01-25,1,2790000,337,618,4,한국,필름에이픽쳐스,,,"홍태선,임혁",,,
492,44,수상한 언니들,2016-03-03,3,3330000,616,616,21,한국,(주)투한미디어,청소년관람불가,"멜로/로맨스,코미디",노진수,,,
493,41,남편만 몰라요,2015-07-07,7,3.00E+06,601,601,20,한국,더그레이트 컴퍼니,청소년관람불가,"멜로/로맨스,코미디",고광현,,,
494,44,전망 좋은 집 2,2015-05-27,5,2980000,599,599,20,한국,(주)소나무픽쳐스,청소년관람불가,"멜로/로맨스,드라마",경석호,,,
495,152,착한 처제,2015-11-19,11,3720000,490,588,19,한국,쟈비스미디어,청소년관람불가,드라마,강훈,,,
496,90,폭력의 법칙: 나쁜 피 두 번째 이야기,2016-10-20,10,4480000,213,582,10,한국,(주)영화사 안다미로,청소년관람불가,드라마,강효진,,,
497,150,다방의 푸른 꿈,2017-01-26,1,3800000,112,570,4,한국,"스토리 너머,아이 엠",전체관람가,전체관람가,다큐멘터리,,,
498,54,고백,2015-08-20,8,2850000,568,568,20,한국,㈜미로비젼,청소년관람불가,"미스터리,기타",정영배,,,
499,72,동거의 목적,2016-03-31,3,2950000,299,566,20,한국,(주)제이에이와이이엔터테인먼트,청소년관람불가,멜로/로맨스,조성우,,,
500,48,맛2,2015-09-02,9,2800000,563,563,20,한국,(주)소나무픽쳐스,청소년관람불가,"멜로/로맨스,드라마",경석호,,,
501,115,용주골,2015-11-19,11,2820000,402,562,20,한국,에이라인,청소년관람불가,"드라마,멜로/로맨스",최우성,,,
502,56,착한 여비서의 목적,2016-05-20,5,2890000,561,561,20,한국,골든타이드픽처스(주),청소년관람불가,멜로/로맨스,김효재,,,
503,53,젊은 엄마 4,2016-04-28,4,2860000,556,556,20,한국,골든타이드픽처스(주),청소년관람불가,멜로/로맨스,김효재,,,
504,48,관음증,2016-02-25,2,2890000,552,552,20,한국,골든타이드픽처스(주),청소년관람불가,멜로/로맨스,이상빈,,,
505,135,말하지 못한 비밀,2015-10-22,10,3660000,78,551,3,한국,(주)씨타마운틴픽쳐스,청소년관람불가,드라마,송동윤,,,
506,95,색끈한 퓨전사극 심청야사,2015-12-17,12,3530000,452,549,20,한국,고구마콘텐츠허브(주),청소년관람불가,사극,강명진,,,
507,45,청춘학당2 기생난입야사,2016-03-03,3,3280000,549,549,20,한국,(주)영화사히트,청소년관람불가,"코미디,드라마",김대성,,,
508,50,감금의 시간,2015-12-03,12,3280000,548,548,20,한국,마법사필름,청소년관람불가,"스릴러,드라마",김대성,,,0.006946304
509,155,고시원,2015-10-30,10,3370000,493,523,20,한국,(주)로이테미디어,청소년관람불가,"멜로/로맨스,드라마",이영민,,,
510,94,포장마차,2015-10-01,10,2620000,402,520,20,한국,에이라인,청소년관람불가,"코미디,멜로/로맨스",최율권희,,,
511,169,새폴더2,2015-10-23,10,3340000,428,517,20,한국,더사람픽쳐스,청소년관람불가,"드라마,코미디",황상원,,,
512,48,젊은엄마 : 디 오리지널,2016-06-23,6,2670000,516,516,20,한국,골든타이드픽처스(주),청소년관람불가,멜로/로맨스,정도수,,,
513,145,녹화중이야,2017-03-02,3,3500000,169,514,6,한국,"노가리필름,(주)인디플러그",15세이상관람가,멜로/로맨스,박민국,,,
514,137,하프,2016-01-21,1,3990000,226,512,10,한국,(주)인디플러그,청소년관람불가,드라마,김세연,,,
515,51,나는 야한 여자가 좋다 3,2015-03-26,3,2590000,503,503,20,한국,(주)케이알씨지,청소년관람불가,멜로/로맨스,김미연,,,
516,119,자가당착: 시대정신과 현실참여,2015-09-10,9,3080000,89,497,5,한국,(주)인디플러그,청소년관람불가,"코미디,기타",김선,,,
517,49,러시아 엄마,2016-07-28,7,2560000,497,497,20,한국,골든타이드픽처스(주),청소년관람불가,멜로/로맨스,최원준,,,
518,80,플랑크 상수,2015-04-30,4,4060000,115,495,5,한국,하준사,청소년관람불가,"드라마,판타지,코미디",조성규,,,
519,48,개인교수: 심화학습,2016-02-18,2,2920000,494,494,20,한국,(주)소나무픽쳐스,청소년관람불가,"멜로/로맨스,드라마",정태령,,,
520,47,미궁: 비밀애,2015-04-23,4,2540000,492,492,20,한국,(주)케이알씨지,청소년관람불가,"멜로/로맨스,스릴러",조조 히데오,,,
521,189,숲속의 부부,2018-02-15,2,4180000,214,484,3,한국,,,,,,,
522,52,등산의 목적,2016-03-03,3,2510000,484,484,20,한국,주식회사 비엠미디어,청소년관람불가,멜로/로맨스,조형운,,,
523,54,내 친구의 아내,2015-12-03,12,3090000,482,482,20,한국,(주)소나무픽쳐스,청소년관람불가,"멜로/로맨스,드라마",탁승오,,,
524,51,블랙가스펠2: 소울을 찾는 여정가운데 만난 사람들,2016-04-14,4,3830000,481,481,7,한국,㈜스토리셋,전체관람가,다큐멘터리,"김성권,이임주",,,
525,147,우리들의 일기,2017-06-01,6,3490000,66,477,8,한국,THE 픽쳐스,청소년관람불가,"액션,드라마",임공삼,,,
526,35,음란한 가족,2015-09-24,9,2300000,473,473,21,한국,(주)KW비젼,청소년관람불가,"코미디,드라마,가족",신정균,,,
527,46,란제리살인사건,2015-09-17,9,2300000,472,472,20,한국,(주)노리픽쳐스,청소년관람불가,스릴러,김세성,,,
528,55,청불학원: 무삭제판,2017-04-10,4,2350000,465,465,20,한국,(주)로드하우스,청소년관람불가,"멜로/로맨스,코미디",최무연,,,
529,57,알바생들,2016-04-28,4,2350000,465,465,20,한국,(주)나우콘텐츠,청소년관람불가,드라마,"홍수동,홍수동",,,
530,36,애인,2015-06-17,6,2450000,457,457,20,한국,(주)케이알씨지,청소년관람불가,멜로/로맨스,박호태,,,
531,160,엘 꼰도르 빠사,2016-02-27,2,3090000,190,445,6,한국,와이드 릴리즈(주),전체관람가,드라마,송재용,,,
532,143,콜리션,2017-03-30,3,2340000,36,430,22,한국,THE 픽쳐스,청소년관람불가,"공포(호러),스릴러","이윤호,허서형",,,
533,53,그리울 련,2015-08-13,8,2210000,429,429,20,한국,(주)드림팩트엔터테인먼트,12세이상관람가,"판타지,멜로/로맨스",한철수,,,
534,152,"금지된 섹스, 달콤한 복수",2016-01-14,1,2370000,413,427,21,한국,(주)케이알씨지,청소년관람불가,"멜로/로맨스,스릴러",,,,
535,155,맛있는 덫-정사,2015-09-30,9,2210000,12,422,20,한국,(주)케이알씨지,청소년관람불가,"멜로/로맨스,드라마",신정균,,,
536,67,탐정사무소 - 사랑과 전쟁,2016-05-13,5,2100000,415,415,20,한국,(주)나우콘텐츠,청소년관람불가,"스릴러,드라마",이동현,,,
537,125,모텔,2015-11-10,11,2160000,360,414,20,한국,(주)케이알씨지,청소년관람불가,"멜로/로맨스,스릴러,미스터리",이숭환,,,
538,139,부곡 하와이,2015-04-30,4,2810000,167,406,10,한국,어뮤즈,청소년관람불가,드라마,하강훈,,,
539,138,핫섹토크,2015-11-03,11,2120000,361,405,20,한국,(유)조이앤컨텐츠그룹,청소년관람불가,멜로/로맨스,이전,,,
540,148,야한 누나들,2016-02-11,2,2100000,387,400,20,한국,(주)에이블엔터테인먼트,청소년관람불가,멜로/로맨스,최우성,,,
541,141,한양기방 명기전,2015-12-30,12,2160000,369,395,20,한국,(주)케이알씨지,청소년관람불가,멜로/로맨스,김민욱,,,
542,103,디렉터스 컷,2015-07-02,7,2700000,279,394,7,한국,야간비행,12세이상관람가,드라마,박준범,,,
543,60,조선안방 스캔들-칠거지악,2015-09-15,9,2080000,394,394,20,한국,(주)케이알씨지,청소년관람불가,멜로/로맨스,이전,,,
544,61,은밀한 방문자,2015-09-16,9,2080000,393,393,19,한국,(주)케이알씨지,청소년관람불가,"멜로/로맨스,스릴러",윤여창,,,
545,51,위험한 섹스,2015-09-23,9,2080000,393,393,20,한국,(주)케이알씨지,청소년관람불가,"멜로/로맨스,스릴러",이숭환,,,
546,66,한양 기방 춘향뎐,2015-11-26,11,2060000,393,393,20,한국,(주)케이알씨지,청소년관람불가,"멜로/로맨스,사극",김민욱,,,
547,60,위험한 중독,2015-12-24,12,2120000,378,388,20,한국,(주)블루브릭,청소년관람불가,드라마,최율권희,,,
548,51,유부녀들,2015-10-14,10,2.00E+06,373,373,20,한국,(주)소나무픽쳐스,청소년관람불가,"멜로/로맨스,드라마",경석호,,,0.008302089
549,62,맛있는 만남,2016-02-29,2,1940000,372,372,19,한국,(주)케이알씨지,청소년관람불가,"멜로/로맨스,드라마",,,,
550,62,야한밤 심야극장,2016-02-25,2,1890000,372,372,20,한국,(주)케이알씨지,청소년관람불가,"멜로/로맨스,드라마",이민환,,,
551,44,외출,2015-06-11,6,2090000,371,371,20,한국,(주)영화사 사계절,청소년관람불가,멜로/로맨스,기대호,,,
552,69,뜨거운 이웃,2016-01-28,1,1970000,370,370,20,한국,(주)케이알씨지,청소년관람불가,멜로/로맨스,이전,,,
553,143,프레스,2017-11-30,11,1490000,126,365,3,한국,,,드라마,최정민,,,
554,163,자유연애시대,2016-02-04,2,1960000,351,365,20,한국,(주)케이알씨지,청소년관람불가,"멜로/로맨스,드라마",이전,,,
555,70,조선안방 스캔들-칠거지악2,2015-10-22,10,1910000,364,364,20,한국,(주)케이알씨지,청소년관람불가,"멜로/로맨스,드라마",이숭환,,,
556,190,맛있는 정사: 오피스 와이프,2015-11-17,11,1910000,360,364,20,한국,(주)케이알씨지,청소년관람불가,"멜로/로맨스,드라마",김학묵,,,
557,68,입영전야,2016-04-05,4,1980000,360,360,20,한국,(주)소나무픽쳐스,청소년관람불가,"멜로/로맨스,코미디","유승택,유승택",,,
558,105,설지,2015-11-26,11,2660000,171,358,14,한국,"(주)박수엔터테인먼트,(주)미로스페이스",12세이상관람가,드라마,박진순,,,
559,58,아내의 애인,2015-10-08,10,2070000,50,357,20,한국,(주)영화사 사계절,청소년관람불가,멜로/로맨스,소영환,,,
560,65,엄마친구,2015-08-20,8,1770000,355,355,19,한국,(주)영화사 사계절,청소년관람불가,멜로/로맨스,명석환,,,
561,126,파파좀비,2016-12-29,12,2150000,93,341,5,한국,㈜인디스토리,전체관람가,드라마,고현창,,,
562,59,위선자들: 감독판,2016-04-21,4,1750000,340,340,20,한국,"THE 픽쳐스,(주)씨타마운틴픽쳐스",청소년관람불가,드라마,김진홍,,,
564,55,내 이웃의 아내,2016-07-28,7,1730000,333,333,20,한국,(주)소나무픽쳐스,청소년관람불가,"멜로/로맨스,드라마",정대만,,,
565,144,몽골리안 프린세스,2015-03-19,3,2540000,238,328,4,한국,(주)영화사 조제,청소년관람불가,"멜로/로맨스,드라마",정단우,,,0.000957418
566,61,사랑받지 못한 여자,2017-01-24,1,2100000,327,327,14,한국,(주)모멘텀엔터테인먼트,청소년관람불가,"드라마,멜로/로맨스",노진수,,,
567,131,참외향기,2018-05-31,5,2740000,64,316,4,한국,(주)영화사 그램,,,,,,
568,57,야한이야기,2016-09-29,9,1590000,313,313,20,한국,골든타이드픽처스(주),청소년관람불가,멜로/로맨스,김철수,,,
569,77,부부의 스폰서,2016-09-09,9,1580000,313,313,20,한국,골든타이드픽처스(주),청소년관람불가,멜로/로맨스,황성욱,,,
570,70,엔조이닷컴,2016-04-28,4,1630000,311,311,20,한국,(주)라이크 콘텐츠,청소년관람불가,"멜로/로맨스,드라마",백수호,,,
571,67,여배우 섹스 스캔들,2016-03-09,3,1650000,310,310,20,한국,(주)케이알씨지,청소년관람불가,멜로/로맨스,야마삐,,,
572,67,아이돌 섹스 스캔들,2016-03-16,3,1680000,308,308,19,한국,(주)케이알씨지,청소년관람불가,멜로/로맨스,야마삐,,,
573,61,환타스틱 러브짐: 전쟁 같은 사랑,2015-10-08,10,1580000,17,303,20,한국,(주)유비네트워크,청소년관람불가,코미디,한우진,,,
574,77,탐욕,2016-05-12,5,1560000,301,301,20,한국,,청소년관람불가,멜로/로맨스,김정욱,,,
575,59,애마부인 2016,2016-06-14,6,1640000,301,301,21,한국,드림로드,청소년관람불가,멜로/로맨스,김미연,,,0.001595697
576,72,형님 아내,2016-05-03,5,1560000,300,300,19,한국,이돌영화사,청소년관람불가,멜로/로맨스,이돌,,,
577,71,캘린더걸,2016-04-07,4,1600000,295,295,20,한국,(주)유비네트워크,청소년관람불가,멜로/로맨스,강현철,,,
578,104,고백할 수 없는,2016-03-31,3,2150000,113,294,4,한국,하준사,청소년관람불가,스릴러,최인규,,,0.011529191
580,57,여자전쟁: 비열한 거래,2016-06-16,6,1540000,292,292,21,한국,TCO(주)더콘텐츠온,청소년관람불가,드라마,노진수,,,
581,69,주말부부,2016-07-08,7,1540000,291,291,21,한국,(주)전망좋은 영화사,청소년관람불가,"멜로/로맨스,드라마",기대호,,,
582,59,여자전쟁: 봉천동 혈투,2016-07-14,7,1530000,291,291,21,한국,TCO(주)더콘텐츠온,청소년관람불가,드라마,권성국,,,
584,127,그빨로,2016-06-03,6,1510000,249,284,20,한국,THE 픽쳐스,청소년관람불가,스릴러,권만회,,,
585,79,잠 못 이루는 섹스 2,2016-05-18,5,1470000,284,284,20,한국,(주)케이알씨지,청소년관람불가,멜로/로맨스,이민환,,,
586,74,우리 지금 할래,2016-04-20,4,1470000,284,284,20,한국,(주)케이알씨지,청소년관람불가,멜로/로맨스,박범수,,,
587,80,옆집 누나,2016-05-12,5,1470000,283,283,20,한국,(주)케이알씨지,청소년관람불가,멜로/로맨스,이민환,,,
588,68,맛있는 떡,2016-04-27,4,1470000,283,283,20,한국,(주)케이알씨지,청소년관람불가,멜로/로맨스,이승환,,,
589,77,잠 못 이루는 섹스,2016-03-31,3,1500000,281,281,19,한국,(주)케이알씨지,청소년관람불가,멜로/로맨스,"이민환,이숭환",,,
590,73,친구 누나,2016-03-10,3,1570000,279,280,21,한국,(주)영화사 사계절,청소년관람불가,멜로/로맨스,채길병,,,
591,70,P.S. 걸,2016-02-04,2,1610000,278,278,21,한국,전망 PRODUCTION,청소년관람불가,"스릴러,멜로/로맨스",원석호,,,
592,80,전원일기: 젖소농장새댁,2015-12-15,12,1410000,274,274,20,한국,주식회사 비엠미디어,청소년관람불가,멜로/로맨스,한동호,,,
593,68,친구엄마,2015-11-12,11,1400000,274,274,20,한국,노바엔터테인먼트,청소년관람불가,"멜로/로맨스,드라마",공자관,,,
594,81,수상한 미용실,2015-10-28,10,1400000,274,274,20,한국,주식회사 비엠미디어,청소년관람불가,멜로/로맨스,한동호,,,
595,106,"연애의 발동 : 상해 여자, 부산 남자",2016-06-02,6,2140000,89,269,8,한국,(주)케이알씨지,12세이상관람가,"멜로/로맨스,코미디",김태균,,,
596,82,공즉시색,2015-11-26,11,1460000,269,269,20,한국,(주)영화사 사계절,청소년관람불가,멜로/로맨스,김현빈,,,
597,80,누나 친구,2016-01-21,1,1510000,269,269,21,한국,(주)영화사 사계절,청소년관람불가,멜로/로맨스,신현철,,,
598,78,썰만화,2016-02-25,2,1510000,268,268,21,한국,TCO(주)더콘텐츠온,청소년관람불가,"코미디,드라마,멜로/로맨스",안일환,,,
599,115,게스트하우스,2018-02-22,2,1830000,167,266,9,한국,,,,,,,
600,106,다이빙벨: 진실은 침몰하지 않습니다,2015-04-16,4,2010000,199,265,4,한국,(주)시네마달,15세이상관람가,다큐멘터리,"이상호,안해룡",,,
601,78,정사 : 결혼 말고 연애,2016-04-19,4,1450000,262,262,20,한국,(주)영화사 사계절,청소년관람불가,멜로/로맨스,조경훈,,,
602,155,그 후,2017-07-06,7,1990000,48,256,5,한국,"(주)영화제작전원사 ,(주)콘텐츠판다",청소년관람불가,"드라마,멜로,로맨스",홍상수,,,
603,81,이웃동서,2016-05-16,5,1350000,253,253,21,한국,전망 PRODUCTION,청소년관람불가,멜로/로맨스,기대호,,,
604,79,남녀의 궁합,2016-05-19,5,1340000,252,252,20,한국,(주)영화사 사계절,청소년관람불가,멜로/로맨스,채길병,,,
605,68,외도,2016-07-14,7,1330000,252,252,20,한국,㈜리필름,청소년관람불가,"멜로/로맨스,드라마",최우성,,,
606,64,감출 수 없는 본능-몰카,2016-06-09,6,1320000,250,250,20,한국,모비딕엔터테인먼트(주),청소년관람불가,"드라마,멜로/로맨스,스릴러",김병관,,,
607,68,음란 조선 기방,2018-07-04,7,1180000,244,244,10,한국,,,,,,,
608,63,향단이 나르샤 감독판,2018-06-20,6,1180000,244,244,20,한국,,,,,,,
609,63,내 여자의 정사: 감독판,2018-06-19,6,1180000,244,244,20,한국,,,,,,,
610,67,타부-새누나,2016-06-16,6,1270000,242,243,20,한국,(주)콘텐츠윙,청소년관람불가,"멜로/로맨스,스릴러",이슬,,,
